intent,support,delta_stability
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",7,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [0.5, 13.0], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': NOT({'South Africa', 'USA', 'Spain', 'Chile'}), 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 19.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",6,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Australia'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other', 'New Zealand'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Other'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [0.5, 13.0], 'Country': {'France', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2021.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [0.5, 14.5], 'Country': {'France', 'New Zealand'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'New Zealand', 'Other', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Australia'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Australia'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [12.5, 13.0], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'New Zealand', 'Australia'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Australia', 'Italy'}, 'Price': [14.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'New Zealand', 'Australia'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2019.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 19.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2021.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [4.99, 19.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'Italy'}, 'Price': [11.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [11.99, 19.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 35.99], 'Type': {'Red'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand', 'Italy'}, 'Price': [4.99, 14.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other'}, 'Price': [4.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [12.5, 14.5], 'Country': {'France', 'Other', 'New Zealand'}, 'Price': [11.99, 430.0], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
"{'ABV': [13.0, 14.5], 'Country': {'France', 'Other', 'New Zealand'}, 'Price': [4.99, 35.99], 'Type': {'Red', 'White'}, 'Vintage': [2020.0, 2022.0]}",5,
